PBP_BP_ID,"TIMESTAMPDIFF(MONTH ,PBP_START_DATE,PBP_END_DATE)","TIMESTAMPDIFF(DAY ,PBP_START_DATE,PBP_END_DATE)","TIMESTAMPDIFF(HOUR ,PBP_START_DATE,PBP_END_DATE)","TIMESTAMPDIFF(MINUTE ,PBP_START_DATE,PBP_END_DATE)"
310,13,407,9783,586983
312,13,407,9783,586989
311,14,431,10362,621740
313,13,407,9783,586985
315,13,407,9783,586985
317,10,314,7536,452160
321,13,407,9783,586986
324,13,407,9783,586999
327,121,3683,88407,5304426
329,13,407,9783,586984
332,8,256,6144,368640
335,13,407,9783,586996
341,10,314,7536,452160
343,10,305,7320,439200
344,13,407,9783,586985
345,13,407,9783,586984
346,14,431,10362,621740
350,13,407,9783,586989
357,121,3683,88407,5304425
359,13,407,9783,586998
362,13,407,9783,586985
363,13,407,9783,586985
364,13,407,9783,586982
365,14,431,10362,621741
367,13,407,9783,586998
368,14,431,10362,621744
369,13,407,9783,586984
370,14,431,10362,621744
375,10,314,7536,452160
376,13,407,9783,586984
378,13,414,9951,597075
381,14,431,10362,621740
382,10,305,7320,439200
384,13,407,9783,586984
386,13,407,9783,586985
387,13,407,9783,586982
388,13,407,9783,586988
390,14,431,10362,621741
393,13,407,9783,586985
398,13,407,9783,586998
401,121,3683,88407,5304425
402,13,407,9783,586985
407,30,935,22440,1346400
408,5,166,4001,240076
409,24,732,17585,1055157
410,13,411,9865,591900
426,0,0,8,493
429,23,724,17376,1042560
431,11,358,8592,515520
432,8,271,6504,390240
433,1,30,737,44226
434,9,281,6744,404640
435,8,270,6480,388800
452,0,2,62,3748
454,32,981,23544,1412640
458,23,703,16872,1012320
459,0,11,264,15840
462,4,142,3418,205107
463,9,295,7080,424800
467,5,167,4023,241404
469,22,688,16535,992100
471,4,139,3355,201347
477,22,673,16175,970500
478,24,748,17952,1077120
479,0,6,158,9518
480,0,6,158,9481
481,0,0,18,1106
482,22,673,16175,970500
484,8,258,6215,372900
485,3,101,2424,145440
487,11,350,8400,504000
491,8,245,5903,354180
492,8,256,6167,370020
493,8,246,5927,355620
494,2,69,1656,99360
495,6,190,4583,274980
496,5,175,4223,253380
497,11,340,8170,490218
503,3,108,2611,156690
505,11,342,8208,492480
509,11,343,8232,493920
510,8,261,6287,377220
512,10,316,7607,456420
513,9,295,7103,426180
515,6,190,4583,274980
516,21,642,15431,925860
519,9,279,6717,403043
521,23,711,17064,1023840
525,6,205,4942,296520
526,12,372,8939,536372
529,10,306,7344,440640
536,7,232,5591,335460
537,24,750,18000,1080000
538,20,609,14639,878340
540,8,253,6095,365700
541,1,55,1339,80388
542,4,147,3551,213060
545,8,271,6518,391084
546,8,271,6518,391088
547,8,271,6518,391098
549,9,295,7097,425841
552,8,271,6518,391088
554,8,271,6518,391085
555,8,271,6518,391084
558,9,295,7097,425840
560,8,270,6494,389647
561,8,271,6518,391087
566,8,271,6518,391084
567,8,271,6518,391083
569,9,295,7097,425841
570,8,271,6518,391098
576,1,43,1047,62853
580,19,587,14111,846660
586,18,569,13679,820740
587,5,153,3695,221700
588,5,153,3695,221700
589,18,576,13847,830820
591,3,101,2447,146820
592,9,281,6744,404640
649,2,87,2111,126660
650,5,154,3719,223140
651,18,569,13679,820740
653,8,263,6312,378720
655,5,153,3695,221700
656,10,307,7368,442080
174,-42,-1280,-30724,-1843475
659,7,230,5520,331200
661,8,253,6072,364320
667,7,217,5214,312891
668,6,190,4583,274980
670,0,9,222,13351
671,20,621,14904,894240
673,0,-11,-274,-16478
701,23,702,16857,1011438
703,23,702,16857,1011438
707,21,654,15714,942845
709,7,225,5401,324060
712,17,526,12624,757440
713,10,306,7345,440700
714,4,143,3432,205920
716,0,-14,-350,-21046
719,6,198,4753,285180
723,0,0,17,1030
724,0,15,378,22714
748,1,49,1189,71386
750,1,45,1091,65479
753,7,221,5304,318240
757,16,516,12385,743100
799,7,225,5400,324000
801,12,373,8952,537120
807,0,2,59,3579
